id,timestamp,packet_id,pressure,accel_x,accel_y,accel_z
59_1,2025-07-19 01:05:33.733219,59,-292.9,-0.205,0.1228,1.031
59_2,2025-07-19 01:05:33.833219,59,-555.1,-0.2084,0.1042,1.0939
59_3,2025-07-19 01:05:33.933219,59,-424.0,-0.196,0.1115,1.062
68_1,2025-07-19 01:05:34.633380,68,-30.8,-0.0866,0.0869,1.0803
68_2,2025-07-19 01:05:34.733380,68,-161.8,-0.0974,0.0812,1.0703
68_3,2025-07-19 01:05:34.833380,68,-555.1,-0.0666,0.0773,1.0563
71_1,2025-07-19 01:05:34.934660,71,-555.1,-0.0952,0.0988,1.0786
71_2,2025-07-19 01:05:35.034660,71,-555.1,-0.0812,0.0993,1.0087
71_3,2025-07-19 01:05:35.134660,71,-424.0,-0.0119,0.0756,1.0815
74_1,2025-07-19 01:05:35.234476,74,-161.8,0.0092,0.0991,1.103
74_2,2025-07-19 01:05:35.334476,74,100.3,-0.0668,0.1257,1.1174
74_3,2025-07-19 01:05:35.434476,74,-292.9,-0.0708,0.0817,1.0625
80_1,2025-07-19 01:05:35.837103,80,-292.9,-0.0712,0.124,1.0725
80_2,2025-07-19 01:05:35.937103,80,-292.9,-0.0463,0.1076,1.0437
80_3,2025-07-19 01:05:36.037103,80,-555.1,-0.0886,0.1201,1.0649
83_1,2025-07-19 01:05:36.133959,83,-948.3,-0.1589,0.1257,1.0588
83_2,2025-07-19 01:05:36.233959,83,-686.1,-0.1679,0.1306,1.0527
83_3,2025-07-19 01:05:36.333959,83,-292.9,-0.1516,0.1306,1.0734
